"name","country","sub.region","Age.dependency.ratio....of.working.age.population.","GDP..current.US..","GDP.growth..annual...","GDP.per.capita..current.US..","GDP.per.capita.growth..annual...","Incidence.of.tuberculosis..per.100.000.people.","Inflation..GDP.deflator..annual...","Labor.force..total","Net.migration","Population.growth..annual...","Population..total","Rural.population....of.total.population.","Unemployment..total....of.total.labor.force...modeled.ILO.estimate.","Labor.force.percent","Net.migration.rate"
"Afghanistan ","afg","Southern Asia",83.8361728436,17233051620.1117,2.7108867913,415.7074170591,0.5406555542,180,2.961653541,8866507,-48958,2.1355938498,41454761,73.067,13.991,0.2138839251781,-0.00118099824529202
"Albania ","alb","Southern Europe",50.023929771,23547179830.4413,3.9366252574,8575.1711344621,5.1371320154,15,6.0660494751,1376643,-25357,-1.1484176377,2745972,35.397,10.108,0.501331768859988,-0.0092342529348442
"Algeria ","dza","Northern Africa",58.7709984775,247626161016.414,4.1,5364.0279502273,2.5512030194,47,0.8548410374,13174228,-25963,1.4989760119,46164219,24.732,11.701,0.285377469507282,-0.000562405268894509
"Angola ","ago","Sub-Saharan Africa",90.0552252752,84824654481.7249,1.0012893603,2308.1597673127,-2.0627732928,339,17.6195377227,15430003,-995,3.0806553072,36749906,31.312,14.537,0.419865101151551,-2.70748991847761e-05
"Argentina ","arg","Latin America and the Caribbean",52.4243366823,646075277525.125,-1.6110016209,14187.4827252965,-1.8929497974,35,135.3688763106,22069879,4133,0.2869761219,45538401,7.537,6.139,0.484643257456493,9.07585665996485e-05
"Armenia ","arm","Western Asia",48.7129752599,24085749592.3359,8.2999999996,8053.0106631235,7.5142465475,25,2.6730035489,1492711,75000,0.7281789193,2990900,36.261,13.245,0.499084222140493,0.025076064060985
"Australia ","aus","Australia and New Zealand",54.8330553856,1728057316695.61,3.4419922001,64820.9117890026,0.9410145685,6.2,6.5119989495,14593816,140232,2.4474661688,26658948,13.383,3.668,0.547426552615655,0.0052602225714233
"Austria ","aut","Western Europe",52.5940837665,511685203845.001,-0.9549623668,56033.573792065,-1.9301455033,5.2,6.6476534163,4762160,4819,0.989464654,9131761,40.47,5.264,0.521494156494021,0.00052771858571419
"Azerbaijan ","aze","Western Asia",43.5853062725,72356176470.5882,1.1239743271,7125.9085836861,1.00245376,72,-9.2066394496,5009964,-84122,0.1202421503,10153958,42.423,5.636,0.49340011057757,-0.00828465116755456
"Bahamas, The ","bhs","Latin America and the Caribbean",42.5030859573,14338500000,2.6390559808,35896.50510715,2.1503230435,7.8,6.3444201448,235466,1001,0.4773039183,399440,16.375,8.643,0.589490286400961,0.00250600841177649
"Bahrain ","bhr","Western Asia",29.2488272145,46079867021.2766,2.9807927666,29218.8605634137,-0.438668518,12,-4.1437516582,905498,20002,3.3768641772,1577059,10.131,1.154,0.574168753356723,0.0126831019004362
